license_plate,violation_count
c45c0ba983b1d6f03187f7e4fb886019882aced04218b00e0e22f55955382882,108
6059dcc4ef4516ca9f357ca2a789b9c4ca9c633258f2121f8ae29919356f7af0,106
ebabc585284d95a10b6b45730c38fa55dfd57bcc5aea304b67693b84fb4d0eb0,102
cbebd9b5a63416b9c246a35d3b5fc36214871dab0e5ccf88d54a4bf8a6a0f046,102
6d7caef8bf15e2bf8d46aa1e6dd8c0da1ae2fbc5b31acec87ab5642558d4360b,96
8031501549671d0fd23fd3a5b8fe055bb46e1a2ece8e40029413fb24aa1a4127,94
7feac037b62d591ffb1214e356157f3dd197fc22fee5bbde47b1b65af6f0d4fd,93
1feaad876c46cfe1cc4ee357e410ec2054c5c231d268169dfdd9527c1c084a80,91
3f4f9c3891611af34c2290a19eb7c2b7cc62f8c66bbefde5ce301fc12cced131,88
2a8ac01b157a97b3c124cf33322e71c31062b815dd3b0a9c121ee3a6c22ff64a,77
80e7bae594e62aaaf4ed702b8230dfd12559743828922bcb043940ad4a087b75,75
b1a840ddd39982c2eca83e076c6dd8122e7b09a2af9e1638ce74508426823b52,71
aede8d81e4ca48d8775c7ecd0d1f1468f7fc461d40016176da36094370cc10ee,66
6dc34b83b477c2c73ec2d9ffb526264ded101d965f3ef0fc9a72d2e2adfeef4e,65
8dc7f1039f216e2e11f6f0e355b0650db751516206f5398be35985d34187dfe3,65
UNKNOWN,64
990cd7879bb0663a4d818a4c75bfd6bac4e4357c8b5621a037d0830362157a6b,63
a49d4841493494572a6bb06abbf06c47a8f8f7f049691e232c763b9dd8d70ec0,60
9d598b609c3f683f46e8a96566c714b55b8dc95fdc07a646687434911693d9bc,59
421d84e2d1638a96cad98d531e96b5c9d5406dfc443b630a3e538943373791b7,58
ba28fca90eec2fb76f1978f6b6c96081690db24b7e0d20bede20d2b738f1055e,55
c1cd5292849310ae2e6ecc4c14a5164cf9406d0767d72696909b359deed8c657,50
8152e1afe206bd2b11fcb255dc9854d6e4516160cb1d94a8a0d8586bf1321910,48
4b71c12c35465df1d563f242b16f744d25bc7875e8c13cdcbfd80e7abd9bf409,47
030824b23e2cfd337bac87ca61df779accc2a312513012ced5ef6a0e99eb9b11,45
07ec9593a8bc0e5f1090eb66dce52dfe289b006d55cc34df02f8397e386d135b,43
932dd0947e491ed0c51ac4bb9e90f31695d8365425c63ceed8ac57a7dbcbb19e,42
63dfa5a775b5a6d983078d494b652bdf91a1b76a0794d0d00276ece09864b6de,39
931d589de2163c82e8f8b71d1e790f750e7eca603e90fc68593efeb0c4388451,37
3285e765d6c0e9ae9158cc756fe625a99cc0953c43b6c56e93732da1a2b072fc,37
176827791f47edf76d0ec3b9a1fb39cc1b890126e078009b4fcea3f5c54d3837,34
34e0ed7e30913697c060e6c18789fb3db37a466ad9c03d006a332fd388a03df6,33
0e92016a483877f5c62115578a642425d710c43560e00cdd443e3aad2fed06fe,33
3c8e76e9c8cc804c2a40aa7a15bd5e97e249a3cb1c2c5a8bfbe2dfb81f9e8a97,32
0cadcc04328164b01bd4fe9bcb1088d918dde4f887aabf795c523a642479328e,31
df1f37b3d595dc65291f25196d9e957b006e9472660bbb9efe7009b116143e00,31
4618af2b267f13efcf38d876061f1d89cb675aeafb0fcaa14bfac97a03a4da6a,30
abc502f44cbf601149cde019a308c6e610e7346ddb34064ef30addf4bfae279c,29
556eb97e84ddcc710f4083eade7c64bdbfbffcb4af43c504972d8c3c0c39e63d,29
f9be3087b4003de3b72339d2e349f05fb2ca21da9fa2e65cdcff87c02af9080d,29
32f26a736d79c08b51019c4b70e70f6046d0842a9b777402a79cf0ecc6433571,29
b7fe9e5c1f5a4c88258d9a41393c5abf22a6d3338d6bdef706ac4ae867bd2ab1,28
e9122b4e6dac9160ed4fca952a3815fe4c737bfc70cb97e4120a5dbe9a25967f,28
3bdb37c64a68ea07b9a4af2a3457d6aa51782847b6508fdac3333a3e2f9640eb,27
992b86a0166250ce8a3ef831a847ea8a0906d9a00b7a941d2acc1206c41e6ed2,27
5e40ba53431732d07bffc5883c3cd4d33a432948905885a2b3b6161c0825a2ac,27
3d45e26dde2392f373e2bc05a361872bbed9a4c98f11adca99a9f5f2be6d019c,27
9c1f61a96c6011df2c4348ca4cfa660a709df6827ac8da5c962f12083f212669,27
27e26367359e8f92fc0c3b88bd8e8141c236129138ec96147af874e09467898b,27
bcd2cfb4540e32f0c8fc46b93d5a6a02812d5ca0bd3db5814485dd71eb1a84a9,27
